初一上道德与法治,#genre#
011-专题-成长的节拍,https://d006.eduyun.cn/videoworks/mda-ki4m35vr9su3gxub/ykt_tbkt_hls_1080_7/video/初一【道德与法治（统编版）】专题-成长的节拍.m3u8
012-和朋友在一起,https://d006.eduyun.cn/videoworks/mda-ki5bh5ixsiie1mvs/ykt_tbkt_hls_1080_7/video/初一【道德与法治（统编版）】和朋友在一起.m3u8
013-深深浅浅话友谊,https://d006.eduyun.cn/videoworks/mda-kjngm29m7up6uffs/ykt_tbkt_hls_1080_7/video/初一【道德与法治（统编版）】深深浅浅话友谊.m3u8
014-让友谊之树常青,https://d006.eduyun.cn/videoworks/mda-kjngr9er41p0kd7s/ykt_tbkt_hls_1080_7/video/初一【道德与法治（统编版）】让友谊之树常青.m3u8
015-网上交友新时空,https://d006.eduyun.cn/videoworks/mda-kjvhs9c9c8bbyuh9/ykt_tbkt_hls_1080_7/video/初一【道德与法治（统编版）】网上交友新时空.m3u8
016-专题——友谊的天空,https://d006.eduyun.cn/videoworks/mda-kjvhdjy205g6dmn9/ykt_tbkt_hls_1080_7/video/初一【道德与法治（统编版）】专题-友谊的天空.m3u8
017-走近老师,https://d006.eduyun.cn/videoworks/mda-kj2dy35yigmk5fv2/ykt_tbkt_hls_1080_7/video/初一【道德与法治（统编版）】走进老师.m3u8
018-师生交往,https://d006.eduyun.cn/videoworks/mda-kj2d7n49u66ne2bh/ykt_tbkt_hls_1080_7/video/初一【道德与法治（统编版）】师生交往.m3u8
019-家的意味,https://d006.eduyun.cn/videoworks/mda-kkcb3a5n17qyhmr6/ykt_tbkt_hls_1080_7/video/初一【道德与法治（统编版）】家的意味.m3u8
020-爱在家人间,https://d006.eduyun.cn/videoworks/mda-kkcbdhidugnksgae/ykt_tbkt_hls_1080_7/video/初一【道德与法治（统编版）】爱在家人间.m3u8
021-让家更美好,https://d006.eduyun.cn/videoworks/mda-kkjijnfpnx347af2/ykt_tbkt_hls_1080_7/video/初一【道德与法治（统编版）】让家更美好.m3u8
022-专题：师长情谊,https://d006.eduyun.cn/videoworks/mda-kkjizesu8ib7v16v/ykt_tbkt_hls_1080_7/video/初一【道德与法治（统编版）】专题-师长情谊.m3u8
023-生命可以永恒吗,https://d006.eduyun.cn/videoworks/mda-kktdyj1p2xybyys2/ykt_tbkt_hls_1080_7/video/初一【道德与法治（统编版）】生命可以永恒吗.m3u8
024-敬畏生命,https://d006.eduyun.cn/videoworks/mda-kkvc0mzjbtz54m7x/ykt_tbkt_hls_1080_7/video/初一【道德与法治（统编版）】敬畏生命.m3u8
025-守护生命,https://d006.eduyun.cn/videoworks/mda-kkzhyh62wvuf0g29/ykt_tbkt_hls_1080_7/video/初一【道德与法治（统编版）】守护生命.m3u8
026-增强生命的韧性,https://d006.eduyun.cn/videoworks/mda-kk2gnhihxm0bcv4n/ykt_tbkt_hls_1080_7/video/初一【道德与法治（统编版）】增强生命的韧性.m3u8
027-感受生命的意义,https://d006.eduyun.cn/videoworks/mda-kmagnwkhr7eetc3e/ykt_tbkt_hls_1080_7/video/初一【道德与法治（统编版）】感受生命的意义.m3u8
028-活出生命的精彩（第一课时）,https://d006.eduyun.cn/videoworks/mda-kmhhab9fie25tyzc/ykt_tbkt_hls_1080_7/video/初一【道德与法治（统编版）】活出生命的精彩1.m3u8
029-活出生命的精彩（第二课时）,https://d006.eduyun.cn/videoworks/mda-kmhh8mdtewuya36b/ykt_tbkt_hls_1080_7/video/初一【道德与法治（统编版）】活出生命的精彩2.m3u8
030-专题—生命的思考,https://d006.eduyun.cn/videoworks/mda-kmhhbpky4gvb1gju/ykt_tbkt_hls_1080_7/video/初一【道德与法治（统编版）】专题-生命的思考.m3u8
031-专题-“我”与生命,https://d006.eduyun.cn/videoworks/mda-kmji2r9wjr0yz0xc/ykt_tbkt_hls_1080_7/video/初一【道德与法治（统编版）】专题-“我”与生命.m3u8
032-专题-我与他人,https://d006.eduyun.cn/videoworks/mda-kmhh1a6jwbjn7u0y/ykt_tbkt_hls_1080_7/video/初一【道德与法治（统编版）】专题-我与他人.m3u8

初一上地理,#genre#
001-与同学们谈地理,https://d006.eduyun.cn/videoworks/mda-kicm2rs710wn2e1g/ykt_tbkt_hls_1080_7/video/初一【地理（人教版）】绪言与同学们谈地理.m3u8
002-地球和地球仪（第一课时）,https://d006.eduyun.cn/videoworks/mda-kicmw3112n0cghqj/ykt_tbkt_hls_1080_7/video/初一【地理（人教版）】地球和地球仪（第一课时）.m3u8
003-地球和地球仪（第二课时）,https://d006.eduyun.cn/videoworks/mda-kicm3bg2qy1xqcjf/ykt_tbkt_hls_1080_7/video/初一【地理（人教版）】地球和地球仪（第二课时）.m3u8
004-地球的运动（第一课时）,https://d006.eduyun.cn/videoworks/mda-kicmk0zrnzzucvmk/ykt_tbkt_hls_1080_7/video/初一【地理（人教版）】地球的运动（第一课时）.m3u8
005-地球的运动（第二课时）,https://d006.eduyun.cn/videoworks/mda-kijhax1ihcxinfus/ykt_tbkt_hls_1080_7/video/初一【地理（人教版）】地球的运动（第二课时）.m3u8
006-地图的阅读（第一课时）,https://d006.eduyun.cn/videoworks/mda-kijh75defv3xpuzd/ykt_tbkt_hls_1080_7/video/初一【地理（人教版）】地图的阅读（第一课时）.m3u8
007-地图的阅读（第二课时）,https://d006.eduyun.cn/videoworks/mda-kirphtpzuiba9y7b/ykt_tbkt_hls_1080_7/video/初一【地理（人教版）】地图的阅读（第二课时）.m3u8
008-地形图的判读（第一课时）,https://d006.eduyun.cn/videoworks/mda-kirpp7xg4h9xi4w4/ykt_tbkt_hls_1080_7/video/初一【地理（人教版）】地形图的判读（第一课时）.m3u8
009-地形图的判读（第二课时）,https://d006.eduyun.cn/videoworks/mda-kiydssak6xxu6dkq/ykt_tbkt_hls_1080_7/video/初一【地理（人教版）】地形图的判读（第二课时）.m3u8
010-地图专题,https://d006.eduyun.cn/videoworks/mda-ki2h4v5atz718swd/ykt_tbkt_hls_1080_7/video/初一【地理（人教版）】地图专题.m3u8
011-大洲和大洋（第一课时）,https://d006.eduyun.cn/videoworks/mda-ki4miay4zkhhiexb/ykt_tbkt_hls_1080_7/video/初一【地理（人教版）】大洲和大洋（第一课时）.m3u8
012-大洲和大洋（第二课时）,https://d006.eduyun.cn/videoworks/mda-ki4mumqvt3thz8ic/ykt_tbkt_hls_1080_7/video/初一【地理（人教版）】大洲和大洋（第二课时）.m3u8
013-海陆的变迁（第一课时）,https://d006.eduyun.cn/videoworks/mda-kjngm9mgsy32bwvr/ykt_tbkt_hls_1080_7/video/初一【地理（人教版）】海陆的变迁（第一课时）.m3u8
014-海陆的变迁（第二课时）,https://d006.eduyun.cn/videoworks/mda-kjng1fz2jvj775i6/ykt_tbkt_hls_1080_7/video/初一【地理（人教版）】海陆的变迁（第二课时）.m3u8
015-多变的天气（第一课时）,https://d006.eduyun.cn/videoworks/mda-kjxmxaz2pbm2xqsf/ykt_tbkt_hls_1080_7/video/初一【地理（人教版）】多变的天气（第一课时）.m3u8
016-多变的天气（第二课时）,https://d006.eduyun.cn/videoworks/mda-kjxmmbuggbken9tv/ykt_tbkt_hls_1080_7/video/初一【地理（人教版）】多变的天气（第二课时）.m3u8
017-气温的变化与分布（第一课时）,https://d006.eduyun.cn/videoworks/mda-kj4gijdkee2ce3uq/ykt_tbkt_hls_1080_7/video/初一【地理（人教版）】气温的变化与分布（第一课时）.m3u8
018-气温的变化与分布（第二课时）,https://d006.eduyun.cn/videoworks/mda-kj4g1t4r6rzt8esd/ykt_tbkt_hls_1080_7/video/初一【地理（人教版）】气温的变化与分布（第二课时）.m3u8
019-降水的变化与分布（第一课时）,https://d006.eduyun.cn/videoworks/mda-kkfcqtdjnxnx3jya/ykt_tbkt_hls_1080_7/video/初一【地理（人教版）】降水的变化与分布（第一课时）.m3u8
020-降水的变化与分布（第二课时）,https://d006.eduyun.cn/videoworks/mda-kkfc2hdyejm0kh5m/ykt_tbkt_hls_1080_7/video/初一【地理（人教版）】降水的变化与分布（第二课时）.m3u8
021-世界的气候（第一课时）,https://d006.eduyun.cn/videoworks/mda-kknbwh2szb0vrhia/ykt_tbkt_hls_1080_7/video/初一【地理（人教版）】世界的气候（第一课时）.m3u8
022-世界的气候（第二课时）,https://d006.eduyun.cn/videoworks/mda-kknd73nseaei39vf/ykt_tbkt_hls_1080_7/video/初一【地理（人教版）】世界的气候（第二课时）.m3u8
023-世界的气候（第三课时）,https://d006.eduyun.cn/videoworks/mda-kksivn4c89d1483p/ykt_tbkt_hls_1080_7/video/初一【地理（人教版）】世界的气候（第三课时）.m3u8
024-气候专题,https://d006.eduyun.cn/videoworks/mda-kksiiqfr2gxietny/ykt_tbkt_hls_1080_7/video/初一【地理（人教版）】气候专题.m3u8
025-人口与人种（第一课时）,https://d006.eduyun.cn/videoworks/mda-kk2gtbum7nk4m7z2/ykt_tbkt_hls_1080_7/video/初一【地理（人教版）】人口与人种（第一课时）.m3u8
026-人口与人种（第二课时）,https://d006.eduyun.cn/videoworks/mda-kk2ggdt0qtza60at/ykt_tbkt_hls_1080_7/video/初一【地理（人教版）】人口与人种（第二课时）.m3u8
027-世界的语言与宗教（第一课时）,https://d006.eduyun.cn/videoworks/mda-kmah6ezkgvrh9yc5/ykt_tbkt_hls_1080_7/video/初一【地理（人教版）】世界的语言和宗教（第一课时）.m3u8
028-世界的语言与宗教（第二课时）,https://d006.eduyun.cn/videoworks/mda-kmahwxxbptwtuvdd/ykt_tbkt_hls_1080_7/video/初一【地理（人教版）】世界的语言和宗教（第二课时）.m3u8
029-人类的聚居地--聚落（第一课时）,https://d006.eduyun.cn/videoworks/mda-kmhhrmiddscr4cui/ykt_tbkt_hls_1080_7/video/初一【地理（人教版）】人类的聚居地--聚落（第一课时）.m3u8
030-人类的聚居地--聚落（第二课时）,https://d006.eduyun.cn/videoworks/mda-kmhhcek7qzq3cfsh/ykt_tbkt_hls_1080_7/video/初一【地理（人教版）】人类的聚居地--聚落（第二课时）.m3u8
031-发展与合作（第一课时）,https://d006.eduyun.cn/videoworks/mda-kmjigx50vwnupjnc/ykt_tbkt_hls_1080_7/video/初一【地理（人教版）】发展与合作（第一课时）.m3u8
032-发展与合作（第二课时）,https://d006.eduyun.cn/videoworks/mda-kmji8hnf6b262hzm/ykt_tbkt_hls_1080_7/video/初一【地理（人教版）】发展与合作（第二课时）.m3u8

初一上历史,#genre#
001-中国境内早期人类的代表——北京人,https://d006.eduyun.cn/videoworks/mda-kicmgmuwr52bhexs/ykt_tbkt_hls_1080_7/video/初一【历史（统编）】中国境内早期人类的代表——北京人.m3u8
002-原始农耕生活,https://d006.eduyun.cn/videoworks/mda-kicmj83y9tny2gzb/ykt_tbkt_hls_1080_7/video/初一【历史（统编版）】原始农耕生活.m3u8
003-远古的传说,https://d006.eduyun.cn/videoworks/mda-kicmc5rcua0724cm/ykt_tbkt_hls_1080_7/video/初一【历史（统编）】远古的传说.m3u8
004-中国境内早期人类与文明的起源,https://d006.eduyun.cn/videoworks/mda-kicmu8s64npd3b13/ykt_tbkt_hls_1080_7/video/初一【历史（统编版）】中国境内早期人类与文明的起源.m3u8
005-夏商周的更替,https://d006.eduyun.cn/videoworks/mda-kiiq2jt2e0avpc9j/ykt_tbkt_hls_1080_7/video/初一【历史（统编）】夏商周的更替.m3u8
006-青铜器与甲骨文,https://d006.eduyun.cn/videoworks/mda-kiiqgseeifwmsyp9/ykt_tbkt_hls_1080_7/video/初一【历史（统编版）】青铜器与甲骨文.m3u8
007-动荡的春秋时期,https://d006.eduyun.cn/videoworks/mda-kirp625cw42ruy0s/ykt_tbkt_hls_1080_7/video/初一【历史（统编版）】动荡的春秋时期.m3u8
008-战国时期的社会变化,https://d006.eduyun.cn/videoworks/mda-kirpqcje409yqpuf/ykt_tbkt_hls_1080_7/video/初一【历史（统编版）】战国时期的社会变化.m3u8
009-百家争鸣,https://d006.eduyun.cn/videoworks/mda-kiyda6kvugem5nza/ykt_tbkt_hls_1080_7/video/初一【历史（统编版）】百家争鸣.m3u8
010-夏商周时期：早期国家与社会变革,https://d006.eduyun.cn/videoworks/mda-kiyduap68307i04c/ykt_tbkt_hls_1080_7/video/初一【历史（统编版）】夏商周时期：早期国家与社会变革.m3u8
011-秦统一中国,https://d006.eduyun.cn/videoworks/mda-kiydtpk311w27b08/ykt_tbkt_hls_1080_7/video/初一【历史（统编版）】秦统一中国.m3u8
012-秦末农民大起义,https://d006.eduyun.cn/videoworks/mda-kiydzsrhsyjw76y0/ykt_tbkt_hls_1080_7/video/初一【历史（统编版）】秦末农民大起义.m3u8
013-西汉建立和“文景之治”,https://d006.eduyun.cn/videoworks/mda-ki4m4bstsvm6u62f/ykt_tbkt_hls_1080_7/video/初一【历史（统编版）】西汉建立和“文景之治”.m3u8
014-汉武帝巩固大一统王朝,https://d006.eduyun.cn/videoworks/mda-ki4mvdc6tb1raf1g/ykt_tbkt_hls_1080_7/video/初一【历史（统编版）】汉武帝巩固大一统王朝.m3u8
015-东汉的兴衰,https://d006.eduyun.cn/videoworks/mda-kjng55mjyscb1grg/ykt_tbkt_hls_1080_7/video/初一【历史（统编版）】东汉的兴衰.m3u8
016-沟通中外文明的“丝绸之路”,https://d006.eduyun.cn/videoworks/mda-kjng36vpmeztscuw/ykt_tbkt_hls_1080_7/video/初一【历史（统编版）】沟通中外文明的“丝绸之路”.m3u8
017-两汉的科技和文化,https://d006.eduyun.cn/videoworks/mda-kjvhz1by1dd9y33x/ykt_tbkt_hls_1080_7/video/初一【历史（统编版）】两汉的科技和文化.m3u8
018-统一多民族国家的建立和巩固,https://d006.eduyun.cn/videoworks/mda-kjvht03gu0r1r8qh/ykt_tbkt_hls_1080_7/video/初一【历史（统编版）】统一多民族的建立和巩固.m3u8
019-三国鼎立,https://d006.eduyun.cn/videoworks/mda-kj2d0y62afm1mw27/ykt_tbkt_hls_1080_7/video/初一【历史（统编）】三国鼎立.m3u8
020-西晋的短暂统一和北方各族的内迁,https://d006.eduyun.cn/videoworks/mda-kj2dgc3guhufbjpn/ykt_tbkt_hls_1080_7/video/初一【历史（统编版）】西晋的短暂统一和北方各族的内迁.m3u8
021-东晋南朝时期江南地区的开发,https://d006.eduyun.cn/videoworks/mda-kkcb8b0be11972h1/ykt_tbkt_hls_1080_7/video/初一【历史（统编版）】东晋南朝时期江南地区的开发.m3u8
022-北魏政治和北方民族大交融,https://d006.eduyun.cn/videoworks/mda-kkcby023b6ajgaa3/ykt_tbkt_hls_1080_7/video/初一【历史（统编版）】北魏政治和北方民族大交融.m3u8
023-魏晋南北朝的科技与文化,https://d006.eduyun.cn/videoworks/mda-kkcgrnpcc8zz5et9/ykt_tbkt_hls_1080_7/video/初一【历史（统编版）】魏晋南北朝的科技与文化.m3u8
024-三国两晋南北朝时期：政权分立与民族交融,https://d006.eduyun.cn/videoworks/mda-kkcgkr6zf5uh9sbh/ykt_tbkt_hls_1080_7/video/初一【历史（统编版）】三国两晋南北朝时期：政权分立与民族交融.m3u8
025-中国古代政治制度的发展（先秦至魏晋南北朝）,https://d006.eduyun.cn/videoworks/mda-kkcgkfzbqydh7uft/ykt_tbkt_hls_1080_7/video/初一【历史（统编版）】中国古代政治制度的发展（先秦至魏晋南北朝）.m3u8
026-中国古代思想、科技与文化的发展（先秦至魏晋南北朝）,https://d006.eduyun.cn/videoworks/mda-kkcgy7nfyx8c22eu/ykt_tbkt_hls_1080_7/video/初一【历史（统编版）】中国古代思想、科技与文化的发展.m3u8

初一上美术,#genre#
001-线条的表现力,https://d006.eduyun.cn/videoworks/mda-kicms6kbr91neg9g/ykt_tbkt_hls_1080_7/video/初一【美术（人美版）】线条的表现力.m3u8
002-绘画的构成,https://d006.eduyun.cn/videoworks/mda-kicm4q8nu6uhq7mz/ykt_tbkt_hls_1080_7/video/初一【美术（人美版）】绘画的构成.m3u8
003-动物立体造型,https://d006.eduyun.cn/videoworks/mda-kijhft586naqktkf/ykt_tbkt_hls_1080_7/video/七年级【美术（人美版）】动物立体造型.m3u8
004-观察与创造——动物的联想,https://d006.eduyun.cn/videoworks/mda-kirp4r1sarrb2p8u/ykt_tbkt_hls_1080_7/video/初一【美术（人美版）】观察与创造——动物的联想.m3u8
005-扮靓生活的大自然,https://d006.eduyun.cn/videoworks/mda-kiyd85ts54w3nd4r/ykt_tbkt_hls_1080_7/video/初一【美术（人美版）】扮靓生活的大自然.m3u8
006-源于自然的美丽纹样,https://d006.eduyun.cn/videoworks/mda-ki5by2jhu5yaq49a/ykt_tbkt_hls_1080_7/video/初一【美术（人美版）】源于自然的美丽纹样.m3u8
007-把大自然穿在身上,https://d006.eduyun.cn/videoworks/mda-kjng7aj9ehynjrh0/ykt_tbkt_hls_1080_7/video/初一【美术（人美版）】把大自然穿在身上.m3u8
008-把大自然印在书上——藏书票设计,https://d006.eduyun.cn/videoworks/mda-kjxmuersn75diyer/ykt_tbkt_hls_1080_7/video/初一【美术（人美版）】把大自然印在书上——藏书票设计.m3u8
009-中国美术馆,https://d006.eduyun.cn/videoworks/mda-kj4gar7f2zsay0uv/ykt_tbkt_hls_1080_7/video/初一【美术（人美版）】中国美术馆.m3u8
010-故宫博物院,https://d006.eduyun.cn/videoworks/mda-kkehxjuhqx95kt54/ykt_tbkt_hls_1080_7/video/初一【美术（人美版）】故宫博物院.m3u8
011-当卢浮宫遇见紫禁城,https://d006.eduyun.cn/videoworks/mda-kknb3zu57cgs1hzf/ykt_tbkt_hls_1080_7/video/初一【美术（人美版）】当卢浮宫遇见紫禁城.m3u8
012-北京中轴线建筑,https://d006.eduyun.cn/videoworks/mda-kksi08haj61g5r52/ykt_tbkt_hls_1080_7/video/初一【美术（人美版）】北京中轴线建筑.m3u8
013-走进身边的美术世界——京西遗珠 北京法海寺,https://d006.eduyun.cn/videoworks/mda-kk2g03c9tjrv4bx7/ykt_tbkt_hls_1080_7/video/初一【美术（人美版）】走进身边的美术世界——京西遗珠北京法海寺.m3u8
014-走进身边的美术世界——石刻 石头上的艺术,https://d006.eduyun.cn/videoworks/mda-kmad1e1y3k3pybfn/ykt_tbkt_hls_1080_7/video/初一【美术（人美版）】走进身边的美术-石刻石头上的艺术.m3u8
015-用相机记录北京风情,https://d006.eduyun.cn/videoworks/mda-kmhhfpa6uf9wy130/ykt_tbkt_hls_1080_7/video/初一【美术（人美版）】用相机记录北京风情.m3u8
016-走进北京传统工艺美术,https://d006.eduyun.cn/videoworks/mda-kmji4pmr42jg8gtv/ykt_tbkt_hls_1080_7/video/初一【美术（人美版）】走进北京传统工艺美术.m3u8

初一上生物学,#genre#
001-第1章 认识生物 第1节 生物的特征,https://d006.eduyun.cn/videoworks/mda-kicmej0pkx1jr8xm/ykt_tbkt_hls_1080_7/video/（初一［生物学（人教版）］第1章认识生物第1节生物的特征.mp4）.m3u8
002-第1章 认识生物 第2节 调查我们身边的生物,https://d006.eduyun.cn/videoworks/mda-kicmn63e3zrddim0/ykt_tbkt_hls_1080_7/video/（初一［生物学（人教版）］第1章认识生物第2节调查我们身边的生物.mp4）.m3u8
003-第2章 了解生物圈 第1节 生物与环境的关系 第1课时,https://d006.eduyun.cn/videoworks/mda-kicmb327y2zvxgg8/ykt_tbkt_hls_1080_7/video/（初一【生物学（人教版）】第2章了解生物圈第1节生物与环境的关系第1课时.mp4).m3u8
004-第2章 了解生物圈 第1节 生物与环境的关系 第2课时——探究:非生物因素对鼠妇的影响,https://d006.eduyun.cn/videoworks/mda-kicmecp4r3hefijc/ykt_tbkt_hls_1080_7/video/（初一【生物学（人教）】第2章了解生物圈第1节生物与环境的关系第2课时-探究：非生物因素对鼠妇的影响.mp4）.m3u8
005-第2章 了解生物圈 第2节 生物与环境组成生态系统 第1课时,https://d006.eduyun.cn/videoworks/mda-kiiqryyv6ji3y0r3/ykt_tbkt_hls_1080_7/video/（初一【生物学（人教版）】生物与环境组成生态系统（第一课时）.mp4）.m3u8
006-第2章 了解生物圈 第2节 生物与环境组成生态系统 第2课时,https://d006.eduyun.cn/videoworks/mda-kiiqbv8xk7tbppta/ykt_tbkt_hls_1080_7/video/（初一【生物学（人教版）】生物与环境组成生态系统（第二课时）.mp4）.m3u8
007-第2章 了解生物圈 第3节 生物圈是最大的生态系统,https://d006.eduyun.cn/videoworks/mda-kirp32jc0jfy7gz9/ykt_tbkt_hls_1080_7/video/（初一【生物学（人教版）】生物圈是最大的生态系统（第三课时）.mp4）.m3u8
008-第1章 细胞是生命活动的基本单位 第1节 练习使用显微镜,https://d006.eduyun.cn/videoworks/mda-kirpj4ifm2hyjkbj/ykt_tbkt_hls_1080_7/video/（初一【生物学（人教）】练习使用显微镜（第一课时）.mp4）.m3u8
009-第1章 细胞是生命活动的基本单位 第2节 植物细胞 第1课时,https://d006.eduyun.cn/videoworks/mda-kiydz1smansnxj0r/ykt_tbkt_hls_1080_7/video/（初一【生物学（人教版）】第1章细胞是生命活动的基本单位第2节植物细胞第1课时.mp4）.m3u8
010-第1章 细胞是生命活动的基本单位 第2节 植物细胞 第2课时,https://d006.eduyun.cn/videoworks/mda-kiydfu658cibx544/ykt_tbkt_hls_1080_7/video/（初一【生物学（人教版）】第1章细胞是生命活动的基本单位第2节植物细胞.mp4）.m3u8
011-第1章 细胞是生命活动的基本单位 第3节 动物细胞,https://d006.eduyun.cn/videoworks/mda-ki4ndeuj8s0vh4id/ykt_tbkt_hls_1080_7/video/（初一【生物学（人教）】第1章细胞是生命活动的基本单位第3节动物细胞.mp4）.m3u8
012-第1章 细胞是生命活动的基本单位 第4节 细胞的生活,https://d006.eduyun.cn/videoworks/mda-ki4nh70vjrzzxp2c/ykt_tbkt_hls_1080_7/video/初一【生物学（人教版）】第1章细胞是生命活动的基本单位第4节细胞的生活.m3u8
013-第2章 细胞怎样构成生物体 第1节 细胞通过分裂产生新细胞,https://d006.eduyun.cn/videoworks/mda-kjng4zvhk0utb4q7/ykt_tbkt_hls_1080_7/video/初一【生物学（人教版）】第2章细胞怎样构成生物体第1节细胞通过分裂产生新细胞.m3u8
014-第2章 细胞怎样构成生物体 第2节 动物体的结构层次,https://d006.eduyun.cn/videoworks/mda-kjngca26g8kx7ifx/ykt_tbkt_hls_1080_7/video/初一【生物学（人教版）】第2章细胞怎样构成生物体第2节动物体的结构层次.m3u8
015-第2章 细胞怎样构成生物体 第3节 植物体的结构层次,https://d006.eduyun.cn/videoworks/mda-kjvh1y2ykh0zu1ny/ykt_tbkt_hls_1080_7/video/初一【生物学（人教版）】第2章细胞怎样构成生物体第3节植物体的结构层次.m3u8
016-第2章 细胞怎样构成生物体 第4节 单细胞生物,https://d006.eduyun.cn/videoworks/mda-kjvh2mqzqfbgmsy4/ykt_tbkt_hls_1080_7/video/初一【生物学（人教版）】第2章细胞怎样构成生物体第4节单细胞生物.m3u8
017-第1章 生物圈中有哪些绿色植物 第1节 藻类、苔藓和蕨类植物,https://d006.eduyun.cn/videoworks/mda-kj2dpq9tjckuftbc/ykt_tbkt_hls_1080_7/video/初一【生物学（人教版）】第1章生物圈中有哪些绿色植物第1节藻类、苔藓和蕨类植物.m3u8
018-第1章 生物圈中有哪些绿色植物 第2节 种子植物 第1课时,https://d006.eduyun.cn/videoworks/mda-kj2dbwtb7kq4whdp/ykt_tbkt_hls_1080_7/video/初一【生物学（人教版）】第1章生物圈中有哪些绿色植物第2节种子植物第1课时.m3u8
019-第1章 生物圈中有哪些绿色植物 第2节 种子植物 第2课时,https://d006.eduyun.cn/videoworks/mda-kkcb120zm4eigaxj/ykt_tbkt_hls_1080_7/video/初一【生物学（人教版）】第1章生物圈中有哪些绿色植物第2节种子植物第二课时.m3u8
020-第2章 被子植物的一生 第1节 种子的萌发 第1课时,https://d006.eduyun.cn/videoworks/mda-kkcbrhhk0ef93su9/ykt_tbkt_hls_1080_7/video/初一【生物学（人教版）】第2章被子植物的一生第1节种子的萌发第1课时.m3u8
021-第2章 被子植物的一生 第1节 种子的萌发 第2课时,https://d006.eduyun.cn/videoworks/mda-kkjiwcxtwxap4m36/ykt_tbkt_hls_1080_7/video/初一【生物学（人教版）】第2章被子植物的一生第1节种子的萌发第2课时.m3u8
022-第2章 被子植物的一生 第2节 植株的生长,https://d006.eduyun.cn/videoworks/mda-kkjirveati6fq1cn/ykt_tbkt_hls_1080_7/video/初一【生物学（人教版）】第2章被子植物的一生第2节植株的生长.m3u8
023-第2章 被子植物的一生 第3节 开花和结果 第1课时,https://d006.eduyun.cn/videoworks/mda-kksiar02y3tdz19u/ykt_tbkt_hls_1080_7/video/初一【生物学（人教版）】第2章被子植物的一生第3节开花和结果第1课时-资源包.m3u8
024-第2章 被子植物的一生 第3节 开花和结果 第2课时,https://d006.eduyun.cn/videoworks/mda-kksizq27hc2mzeg5/ykt_tbkt_hls_1080_7/video/初一【生物学（人教版）】第2章被子植物的一生第3节开花和结果第2课时.m3u8
025-第3章 绿色植物与生物圈的水循环 第1课时,https://d006.eduyun.cn/videoworks/mda-kksiekcgaeqmdcaj/ykt_tbkt_hls_1080_7/video/初一【生物学（人教版）】第3章绿色植物与生物圈的水循环第1课时.m3u8
026-第3章 绿色植物与生物圈的水循环 第2课时,https://d006.eduyun.cn/videoworks/mda-kksivbmrt1wmyfy0/ykt_tbkt_hls_1080_7/video/初一【生物学（人教版）】第3章绿色植物与生物圈的水循环第2课时.m3u8
027-第4章 绿色植物是生物圈中有机物制造者 第1课时 ,https://d006.eduyun.cn/videoworks/mda-kksiz38gfzv8dfut/ykt_tbkt_hls_1080_7/video/初一【生物学（人教版）】第4章绿色植物是生物圈中有机物制造者第1课时.m3u8
028-第4章 绿色植物是生物圈中有机物制造者 第2课时 探究&实践 绿叶在光下制造有机物,https://d006.eduyun.cn/videoworks/mda-kksizxevjn6mafkd/ykt_tbkt_hls_1080_7/video/初一【生物学（人教版）】第4章绿色植物是生物圈中有机物制造者第2课时.m3u8
